GeneID	RNASeq_rdr6ddm1	RNASeq_RDR6ddm1	Riboseq_rdr6ddm1	Riboseq_RDR6ddm1	Type
AT1G01010	3.596674	3.089983	1.44222	0.854179	Gene
AT1G01020	4.962574	6.552575	1.00654	0.497392	Gene
AT1G01030	0.979397	2.012218	0.479446	0.688056	Gene
AT1G01040	8.896541	8.581575	0.906372	1.15359	Gene
AT1G01046	5.788052	5.684537	0	1.43722	Gene
AT1G01050	73.164261	75.238976	120.744	85.2299	Gene
AT1G01060	102.886185	83.563446	29.7117	25.0311	Gene
AT1G01070	3.472526	3.022942	3.49619	1.05629	Gene
AT1G01073	0	0	839.92	389.974	Gene
AT1G01080	36.380642	48.12812	32.5651	39.4151	Gene
AT1G01090	64.038956	70.778679	134.171	124.016	Gene
AT1G01100	89.857727	123.165413	417.953	558.984	Gene
AT1G01110	0.395138	0.527966	0.662086	1.08149	Gene
AT1G01115	0	0	0	0	Gene
AT1G01120	41.760059	59.734455	64.1571	53.1963	Gene
AT1G01130	0.635671	2.865587	2.93155	6.73133	Gene
AT1G01140	70.297394	59.933216	11.9761	7.32126	Gene
AT1G01150	0	0	0.0261328	0	Gene
AT1G01160	20.254969	18.338421	4.0537	3.99409	Gene
AT1G01170	135.815292	122.380241	127.176	110.581	Gene
AT1G01180	13.656275	10.421142	4.37314	1.75375	Gene
AT1G01183	0	0.198905	25.4543	259.766	Gene
AT1G01190	0.11166	0.361197	0.725824	0.59026	Gene
AT1G01200	0.562142	0.752067	0.62115	0.625555	Gene
AT1G01210	21.916437	18.759628	2.83047	2.3548	Gene
AT1G01220	5.28908	5.337502	2.34527	2.22914	Gene
AT1G01225	0.768621	0.824131	2.07605	2.43091	Gene
AT1G01230	21.788012	20.856464	19.4232	15.6406	Gene
AT1G01240	13.987154	15.974681	2.76594	0.6698	Gene
AT1G01250	21.009529	15.707232	3.95587	0.993969	Gene
AT1G01260	3.805533	4.590419	1.89981	1.25662	Gene
AT1G01270	0	0	39710.7	94479.3	Gene
AT1G01280	0	0	0	0	Gene
AT1G01290	11.206349	9.67861	5.19408	6.10693	Gene
AT1G01300	10.8881	11.278062	21.7821	27.3042	Gene
AT1G01305	0	0	0	0	Gene
AT1G01310	0.094406	0.01166	0	0	Gene
AT1G01320	75.670746	72.894699	36.7791	47.6314	Gene
AT1G01340	4.796897	4.172555	0.347666	0.465674	Gene
AT1G01350	11.071769	11.139376	1.7035	1.22235	Gene
AT1G01355	0.229637	0.175376	0	0	Gene
AT1G01360	27.612871	16.860144	6.64674	2.38469	Gene
AT1G01370	1.130984	2.150304	0.979136	3.09858	Gene
AT1G01380	1.43264	1.736946	0.834987	0	Gene
AT1G01390	14.456367	12.37285	5.6525	1.31501	Gene
AT1G01400	0	0	0	0	Gene
AT1G01410	0	0	0	0	Gene
AT1G01420	11.045795	8.510832	3.79384	2.07412	Gene
AT1G01430	27.8885	33.110249	20.3396	12.5437	Gene
AT1G01440	6.867585	6.521369	1.55456	1.16083	Gene
AT1G01448	4.093058	4.509573	0.0566187	0	Gene
AT1G01450	0.097914	0.026008	0.0842614	0	Gene
AT1G01453	0	0	0	0	Gene
AT1G01460	0	0	0	0	Gene
AT1G01470	104.123108	63.836399	160.779	34.3687	Gene
AT1G01471	0	0	0	0	Gene
AT1G01480	0.240194	0.616711	0.0891118	0.127383	Gene
AT1G01490	114.749489	93.330765	17.1071	7.09235	Gene
AT1G01500	9.628126	6.727067	3.66756	1.31826	Gene
AT1G01510	11.179641	11.871028	10.5571	9.2003	Gene
AT1G01520	41.185734	19.181444	7.3172	1.40013	Gene
AT1G01530	0.137082	0.203617	0	0	Gene
AT1G01540	37.703133	49.028065	13.5341	7.52666	Gene
AT1G01550	95.596283	82.329674	107.614	88.5438	Gene
AT1G01560	6.830311	10.86437	0.753309	0.699157	Gene
AT1G01570	0.277923	0.920725	0.640344	0.197626	Gene
AT1G01580	0.800144	0.694775	1.95407	0.376119	Gene
AT1G01590	0	0	0.0666936	0	Gene
AT1G01600	0.127926	0.25462	10.3058	17.8027	Gene
AT1G01610	18.717169	23.48543	33.7219	26.9203	Gene
AT1G01620	123.435974	118.50119	154.586	119.577	Gene
AT1G01630	38.717808	39.972939	19.4673	16.8211	Gene
