GeneID	WT1	WT2	ddm1	ddm2
AT1G01010	4.572150	7.704795	6.198631	7.279700
AT1G01020	13.962545	10.777081	8.301119	8.360339
AT1G01030	2.189113	1.891143	1.813138	2.363487
AT1G01040	9.695014	9.938044	10.042101	8.093407
AT1G01046	4.331719	6.453760	3.777557	7.111397
AT1G01050	51.802349	44.377903	47.611183	45.717636
AT1G01060	66.266609	86.109100	62.901825	74.913742
AT1G01070	2.646154	4.314816	3.922972	4.103331
AT1G01073	0.0	0.0	0.000000	0.000000
AT1G01080	35.536915	34.799995	34.780823	37.109741
AT1G01090	109.074638	102.247177	108.382950	106.542587
AT1G01100	304.018799	258.307404	310.745941	311.582245
AT1G01110	3.421535	3.820030	6.348504	5.166348
AT1G01115	0.0	0.0	0.000000	0.0
AT1G01120	84.431107	91.642990	84.917023	82.758202
AT1G01130	7.398427	8.028948	10.023846	10.742080
AT1G01140	59.439358	55.020653	87.787415	73.861725
AT1G01150	0.083368	0.0	0.000000	0.028995
AT1G01160	47.528061	39.349640	29.772015	29.057392
AT1G01170	166.996216	162.039780	119.339478	161.336151
AT1G01180	20.536268	23.478167	12.216103	16.154991
AT1G01183	0.556101	0.016208	0.0	0.0
AT1G01190	1.605529	2.215923	1.615833	1.743704
AT1G01200	1.346300	1.806618	1.636164	1.474380
AT1G01210	30.242952	33.752499	28.251444	37.489349
AT1G01220	6.101422	5.461765	5.111606	5.173512
AT1G01225	1.991312	1.969324	1.349578	1.235866
AT1G01230	19.306746	22.721409	19.356012	23.874542
AT1G01240	31.042919	27.057177	16.950943	15.706159
AT1G01250	5.716130	9.097692	5.789553	7.368587
AT1G01260	13.019091	13.309688	14.555181	12.779903
AT1G01270	0.0	0.0	0.0	0.0
AT1G01280	0.0	0.0	0.0	0.0
AT1G01290	17.329769	12.429970	11.294195	12.551757
AT1G01300	15.272074	15.370323	33.795002	22.294861
AT1G01305	0.0	0.0	0.0	0.0
AT1G01310	0.145252	0.121337	0.085907	0.243018
AT1G01320	54.244480	47.999512	46.796261	37.403698
AT1G01340	2.239508	1.852622	2.158576	3.009675
AT1G01350	16.009634	18.179762	16.283752	18.849367
AT1G01355	0.704888	0.222217	0.177146	0.184720
AT1G01360	14.425918	18.531523	14.502245	18.504101
AT1G01370	3.396746	2.664350	4.543242	3.648007
AT1G01380	1.416268	2.460544	2.072655	2.009228
AT1G01390	0.423754	0.845994	0.533999	0.519988
AT1G01400	0.0	0.0	0.0	0.0
AT1G01410	0.0	0.0	0.0	0.0
AT1G01420	3.885153	3.561373	3.126786	3.359411
AT1G01430	73.653801	60.837181	40.554913	44.086010
AT1G01440	10.563500	12.631471	7.503628	8.778848
AT1G01448	9.613607	6.202761	6.360925	6.709963
AT1G01450	1.596759	1.730719	0.953393	0.913291
AT1G01453	0.174153	0.089465	0.068058	0.377862
AT1G01460	0.0	0.027079	0.0	0.0
AT1G01470	88.627663	158.750900	123.501251	114.521500
AT1G01471	0.0	0.0	0.0	0.0
AT1G01480	0.154613	0.622898	0.731042	1.251736
AT1G01490	144.222961	112.100990	92.406105	93.693481
AT1G01500	5.781569	8.520020	5.564165	6.402725
AT1G01510	15.925940	17.213049	18.208418	17.243324
AT1G01520	6.656508	7.214373	5.335849	5.797955
AT1G01530	0.000000	0.000000	0.000000	0.469385
AT1G01540	90.036110	80.691170	90.344955	77.556908
AT1G01550	102.916542	117.008949	115.136543	121.908218
AT1G01560	0.094191	0.226234	1.910036	3.032242
AT1G01570	1.476239	2.218361	2.002480	2.182847
AT1G01580	0.554477	0.585986	1.867047	1.095830
AT1G01590	0.063733	0.031160	0.019842	0.179615
AT1G01600	2.562265	2.880896	7.542250	5.696830
AT1G01610	35.443760	46.099945	41.607346	44.677055
AT1G01620	441.527679	892.260742	362.252991	476.624512
AT1G01630	27.044579	39.252781	32.875065	39.169186
AT1G01640	3.689279	4.397134	3.292466	3.903352
AT1G01650	13.294366	13.411906	11.011400	11.798867
AT1G01660	0.362585	0.380690	0.394791	0.431090
AT1G01670	0.688008	0.860174	0.443942	0.279241
AT1G01680	0.028397	0.176717	0.328480	0.268181
AT1G01690	1.498399	1.544443	2.109797	1.853218
AT1G01695	0.450262	0.355123	0.096694	0.328243
AT1G01700	1.425712	1.043667	0.601175	0.743147
AT1G01710	15.027827	15.720460	13.230115	13.430338
AT1G01720	46.396423	50.564556	47.244076	43.586357
AT1G01725	28.805035	25.406326	20.413870	30.909784
AT1G01730	20.003769	17.592131	19.688665	17.700020
AT1G01740	3.217160	2.519046	1.449347	1.408293
AT1G01750	3.530675	6.063357	5.480780	6.031126
AT1G01760	1.716818	2.452277	1.498960	1.342294
AT1G01770	7.687313	9.373630	5.357807	6.447862
AT1G01780	23.620232	18.068289	14.160808	12.895358
AT1G01790	34.279598	31.746105	27.155510	21.953793
AT1G01800	58.474224	65.128166	56.961109	68.648506
AT1G01810	1.286990	1.088772	1.346306	1.486501
AT1G01820	35.935791	35.020420	29.192480	34.655712
AT1G01830	3.389339	4.187531	5.584901	4.967117
AT1G01840	1.939843	1.587565	2.715466	2.226403
AT1G01860	12.444746	8.702277	7.580939	7.388772
AT1G01870	0.0	0.0	0.0	0.0
AT1G01880	1.272017	1.004125	0.935530	0.773111
AT1G01890	0.0	0.0	0.0	0.0
AT1G01900	1.534054	1.405258	2.069039	1.820224
AT1G01910	20.128071	25.722704	22.240917	22.749580
AT1G01920	8.759642	8.922799	8.230188	8.242786
AT1G01930	9.465421	7.898075	7.808760	7.272126
AT1G01940	15.906031	14.390291	16.773596	15.535464
AT1G01950	10.691586	11.122459	14.303927	13.740320
AT1G01960	11.279879	13.781237	10.947621	10.328164
AT1G01970	19.087645	15.090545	14.518126	14.615771
AT1G01980	0.0	0.0	0.0	0.0
AT1G01990	28.666578	23.007086	20.076870	19.729073
AT1G02000	11.057690	11.381331	11.439896	11.150759
AT1G02010	7.329380	6.304059	4.116612	3.671011
AT1G02020	7.658787	6.491464	6.574825	5.676154
AT1G02030	0.089689	0.156126	0.205712	0.372437
AT1G02040	0.058848	0.013118	0.080419	0.006578
AT1G02050	8.354211	5.634258	5.013664	4.250556
AT1G02060	2.160927	3.693213	2.928193	3.494942
AT1G02065	1.192205	0.696933	1.282906	1.518136
AT1G02070	0.535383	0.554701	0.707297	0.489795
AT1G02074	0.432952	0.154049	0.169384	0.026919
AT1G02080	10.963401	12.679465	10.414806	9.333538
AT1G02090	32.417740	27.849773	38.210541	32.014545
AT1G02100	45.048424	39.525337	37.622684	38.589203
AT1G02110	15.852722	12.506413	13.883868	11.777869
AT1G02120	47.619354	47.344299	37.577053	38.810638
AT1G02130	33.633694	40.387081	31.378996	31.559128
AT1G02136	0.000000	0.0	0.0	0.0
AT1G02140	147.490295	152.593979	141.338913	153.094360
AT1G02145	14.451588	11.925526	10.689244	9.778352
AT1G02150	67.927063	47.498211	54.092232	48.621132
AT1G02160	51.302082	52.309559	46.235676	51.894913
AT1G02170	24.772303	25.599874	31.520599	27.126780
