GeneID	WT1	WT2	ddm1	ddm2
AT1G01010	5.20369	5.67626	5.68184	5.45989
AT1G01020	2.07418	1.49125	1.61583	1.09348
AT1G01030	0.648706	0.745328	0.981821	1.48891
AT1G01040	1.35932	1.34071	1.97165	2.28177
AT1G01046	0	0	0	0
AT1G01050	80.7055	89.3241	105.504	91.675
AT1G01060	35.6032	37.682	47.7887	43.6123
AT1G01070	6.45832	5.86386	6.50658	5.12022
AT1G01073	179.768	77.454	27.2081	8.25209
AT1G01080	24.6596	29.4901	34.5947	28.7767
AT1G01090	196.64	225.687	210.618	206.626
AT1G01100	723.08	885.505	722.516	870.104
AT1G01110	2.96624	3.17983	2.32808	2.78161
AT1G01115	0	0	0	0
AT1G01120	293.384	297.658	221.526	192.748
AT1G01130	8.27256	11.2454	11.0501	4.46861
AT1G01140	26.9239	30.0515	64.0698	53.1754
AT1G01150	0.0342882	0	0.0570849	0.0692544
AT1G01160	7.62098	10.6287	7.66556	7.61616
AT1G01170	135.92	132.537	164.428	160.116
AT1G01180	7.11221	7.27347	4.63336	5.62112
AT1G01183	0	0	28.0913	0
AT1G01190	2.47601	4.02444	2.0611	3.05349
AT1G01200	1.07238	1.42308	1.32116	1.73277
AT1G01210	3.39118	2.87003	3.56225	6.52327
AT1G01220	3.258	3.39956	2.82087	2.83324
AT1G01225	2.19544	2.60126	2.63978	2.62773
AT1G01230	28.4059	33.5099	26.5629	24.987
AT1G01240	3.6703	4.19835	2.75845	2.91098
AT1G01250	3.04095	5.6738	2.96782	3.49461
AT1G01260	3.69255	4.02381	4.80272	5.47331
AT1G01270	53587	36710.5	30803.1	47787.8
AT1G01280	0.0239098	0.0566591	0	0
AT1G01290	8.16992	10.8962	8.68051	8.41654
AT1G01300	31.7199	24.9413	37.448	26.0233
AT1G01305	0	0	0.34867	0.1692
AT1G01310	0.0863433	0	0	0
AT1G01320	37.4981	41.1737	78.0838	65.5332
AT1G01340	0.610128	0.795072	0.876106	1.01664
AT1G01350	3.21294	3.26617	3.95367	3.83722
AT1G01355	0	0.21783	0	0
AT1G01360	8.84694	12.1879	7.46915	7.79115
AT1G01370	1.87869	1.4832	2.18005	1.44715
AT1G01380	0.547849	0.360622	0.30403	0.276633
AT1G01390	0.901679	0.641013	0.713054	0.774005
AT1G01400	0	0	0	0
AT1G01410	0	0	0	0
AT1G01420	2.41266	2.72825	3.08654	2.28263
AT1G01430	55.2325	68.6556	43.9453	46.0127
AT1G01440	6.20179	6.26102	5.13493	4.45451
AT1G01448	0.0804337	0	0.370929	0.150058
